,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage
94511,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_rsi40,2,1.47,10296.15,13/09/2019 05:30,1568352599999,10024.81,1568512799999,1,2.0
94518,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_rsi40,2,1.93,8161.38,08/10/2019 08:15,1570522499999,8430.0,1570631399999,0,-1.93
94521,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_rsi40,2,2.0,8286.65,13/10/2019 20:15,1570997699999,8080.0,1571156999999,1,2.0
94526,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_rsi40,2,1.32,8009.82,18/10/2019 05:30,1571376599999,7821.01,1571377499999,1,2.0
94538,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_rsi40,2,4.65,9468.45,28/10/2019 06:45,1572245099999,9254.47,1572267599999,1,2.0
94547,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_rsi40,2,1.37,9327.12,05/11/2019 06:15,1572934499999,9130.0,1573130699999,1,2.0
181465,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_rsi40,2,2.62,153.27,29/11/2019 21:30,1575062999999,150.0,1575135899999,1,2.0
181474,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_rsi40,2,4.24,149.62,09/12/2019 01:45,1575855899999,146.55,1575907199999,1,2.0
181488,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_rsi40,2,2.1,132.25,23/12/2019 06:00,1577080799999,128.0,1577122199999,1,2.0
94571,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_rsi40,2,2.18,7471.31,23/12/2019 06:45,1577083499999,7691.0,1577117699999,0,-2.18
72925,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence_below_rsi40,2,2.86,204.0,28/12/2019 07:30,1577518199999,213.86,1577623499999,0,-2.86
181493,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_rsi40,2,1.43,127.77,29/12/2019 00:30,1577579399999,130.41,1577623499999,0,-1.43
72931,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence_below_rsi40,2,2.2,210.5,30/12/2019 00:15,1577664899999,206.0,1577723399999,1,2.0
181496,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_rsi40,2,1.91,133.61,30/12/2019 10:00,1577699999999,130.9,1577717999999,1,2.0
94591,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_rsi40,2,1.76,7277.27,03/01/2020 22:00,1578088799999,7485.0,1578187799999,0,-1.76
72936,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence_below_rsi40,2,2.87,220.68,04/01/2020 12:45,1578141899999,227.6,1578187799999,0,-2.87
181503,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_rsi40,2,1.04,132.71,04/01/2020 13:00,1578142799999,134.68,1578159899999,0,-1.04
72939,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence_below_rsi40,2,1.73,239.37,07/01/2020 12:30,1578400199999,234.56,1578410099999,1,2.0
272545,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bearish_divergence_below_rsi40,2,3.5,48.2,11/01/2020 06:15,1578723299999,50.27,1578757499999,0,-3.5
72942,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence_below_rsi40,2,2.93,265.76,11/01/2020 10:45,1578739499999,258.7,1578787199999,1,2.0
173018,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence_below_rsi40,2,3.29,3.025,11/01/2020 22:15,1578780899999,2.932,1578788099999,1,2.0
181508,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_rsi40,2,2.87,143.78,11/01/2020 22:00,1578779999999,148.57,1578967199999,0,-2.87
173021,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence_below_rsi40,2,2.46,3.135,13/01/2020 01:00,1578877199999,3.064,1578885299999,1,2.0
173026,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence_below_rsi40,2,9.5,3.704,15/01/2020 04:15,1579061699999,3.593,1579062599999,1,2.0
181514,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_rsi40,2,5.44,162.81,15/01/2020 04:00,1579060799999,159.35,1579065299999,1,2.0
94600,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_rsi40,2,2.76,8672.77,15/01/2020 04:15,1579061699999,8921.2,1579096799999,0,-2.76
272552,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bearish_divergence_below_rsi40,2,4.9,56.73,15/01/2020 04:30,1579062599999,55.36,1579065299999,1,2.0
453914,XRPUSDT_15m_orders.xlsx,XRPUSDT,15m,bearish_divergence_below_rsi40,2,4.67,0.2288,15/01/2020 05:00,1579064399999,0.2406,1579069799999,0,-4.67
94603,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_rsi40,2,1.65,8738.66,16/01/2020 00:30,1579134599999,8905.0,1579240799999,0,-1.65
417747,TRXUSDT_15m_orders.xlsx,TRXUSDT,15m,bearish_divergence_below_rsi40,2,2.19,0.01742,17/01/2020 12:15,1579263299999,0.0169,1579271399999,1,2.0
173029,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence_below_rsi40,2,4.4,3.887,17/01/2020 12:30,1579264199999,3.744,1579271399999,1,2.0
453918,XRPUSDT_15m_orders.xlsx,XRPUSDT,15m,bearish_divergence_below_rsi40,2,2.27,0.2325,17/01/2020 12:30,1579264199999,0.2382,1579278599999,0,-2.27
272555,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bearish_divergence_below_rsi40,2,3.48,58.46,17/01/2020 14:30,1579271399999,61.08,1579278599999,0,-3.48
173032,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence_below_rsi40,2,6.34,3.829,17/01/2020 20:00,1579291199999,3.735,1579328099999,1,2.0
