,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage
31197,ANTUSDT_15m_orders.xlsx,ANTUSDT,15m,bearish_divergence,2,1.36,1.597,24/10/2022 14:30,1666621799999,1.621,1666628099999,0,-1.36
240515,KAVAUSDT_15m_orders.xlsx,KAVAUSDT,15m,bearish_divergence,2,2.01,1.5203,24/10/2022 17:30,1666632599999,1.5526,1666638899999,0,-2.01
38906,ATAUSDT_15m_orders.xlsx,ATAUSDT,15m,bearish_divergence,2,1.49,0.1587,24/10/2022 22:15,1666649699999,0.1615,1666655099999,0,-1.49
112610,CHZUSDT_15m_orders.xlsx,CHZUSDT,15m,bearish_divergence,2,2.89,0.19319,25/10/2022 01:30,1666661399999,0.18895,1666664999999,1,2.0
64447,BANDUSDT_15m_orders.xlsx,BANDUSDT,15m,bearish_divergence,2,1.54,1.0644,24/10/2022 08:45,1666601099999,1.0421,1666689299999,1,2.0
347734,ROSEUSDT_15m_orders.xlsx,ROSEUSDT,15m,bearish_divergence,2,1.12,0.05999,24/10/2022 13:15,1666617299999,0.05875,1666675799999,1,2.0
38908,ATAUSDT_15m_orders.xlsx,ATAUSDT,15m,bearish_divergence,2,2.38,0.16,25/10/2022 01:45,1666662299999,0.1566,1666676699999,1,2.0
255900,LINAUSDT_15m_orders.xlsx,LINAUSDT,15m,bearish_divergence,2,1.29,0.00768,25/10/2022 05:15,1666674899999,0.00748,1666686599999,1,2.0
403905,THETAUSDT_15m_orders.xlsx,THETAUSDT,15m,bearish_divergence,2,1.59,1.053,25/10/2022 05:30,1666675799999,1.074,1666685699999,0,-1.59
327917,QNTUSDT_15m_orders.xlsx,QNTUSDT,15m,bearish_divergence,2,2.19,181.43,25/10/2022 19:00,1666724399999,177.8,1666728899999,1,2.0
374304,SNXUSDT_15m_orders.xlsx,SNXUSDT,15m,bearish_divergence,2,1.14,2.333,25/10/2022 19:00,1666724399999,2.284,1666736099999,1,2.0
238721,JASMYUSDT_15m_orders.xlsx,JASMYUSDT,15m,bearish_divergence,2,1.5,0.004725,25/10/2022 23:45,1666741499999,0.004834,1666744199999,0,-1.5
264451,LITUSDT_15m_orders.xlsx,LITUSDT,15m,bearish_divergence,2,1.45,0.746,26/10/2022 00:15,1666743299999,0.758,1666745999999,0,-1.45
120278,COTIUSDT_15m_orders.xlsx,COTIUSDT,15m,bearish_divergence,2,1.8,0.10235,25/10/2022 20:15,1666728899999,0.10425,1666754999999,0,-1.8
403907,THETAUSDT_15m_orders.xlsx,THETAUSDT,15m,bearish_divergence,2,1.55,1.082,25/10/2022 19:30,1666726199999,1.101,1666764899999,0,-1.55
423443,UNFIUSDT_15m_orders.xlsx,UNFIUSDT,15m,bearish_divergence,2,1.23,5.76,26/10/2022 05:30,1666762199999,5.867,1666764899999,0,-1.23
247169,KNCUSDT_15m_orders.xlsx,KNCUSDT,15m,bearish_divergence,2,1.22,0.892,26/10/2022 04:30,1666758599999,0.905,1666769399999,0,-1.22
277275,LUNA2USDT_15m_orders.xlsx,LUNA2USDT,15m,bearish_divergence,2,1.37,2.433,26/10/2022 05:30,1666762199999,2.4898,1666770299999,0,-1.37
194815,FOOTBALLUSDT_15m_orders.xlsx,FOOTBALLUSDT,15m,bearish_divergence,2,1.72,814.83,25/10/2022 12:15,1666700099999,829.98,1666844099999,0,-1.72
168455,ENJUSDT_15m_orders.xlsx,ENJUSDT,15m,bearish_divergence,2,1.05,0.4411,25/10/2022 20:00,1666727999999,0.4504,1666773899999,0,-1.05
386930,STGUSDT_15m_orders.xlsx,STGUSDT,15m,bearish_divergence,2,1.45,0.5024,26/10/2022 02:00,1666749599999,0.5108,1666773899999,0,-1.45
632,1000SHIBUSDT_15m_orders.xlsx,1000SHIBUSDT,15m,bearish_divergence,2,2.56,0.01037,26/10/2022 05:15,1666761299999,0.010748,1666780199999,0,-2.56
120281,COTIUSDT_15m_orders.xlsx,COTIUSDT,15m,bearish_divergence,2,1.09,0.10349,26/10/2022 05:30,1666762199999,0.10499,1666773899999,0,-1.09
382293,SPELLUSDT_15m_orders.xlsx,SPELLUSDT,15m,bearish_divergence,2,1.61,0.000857,26/10/2022 05:30,1666762199999,0.000874,1666799099999,0,-1.61
