,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage
94536,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_1-3,2,2.56,9676.09,28/10/2019 03:30,1572233399999,9405.62,1572245099999,1,2.0
72919,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence_1-3,2,1.04,188.51,20/12/2019 15:15,1576854899999,192.92,1577036699999,0,-1.04
181504,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_1-3,2,1.46,133.1,04/01/2020 01:15,1578100499999,135.8,1578163499999,0,-1.46
173013,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence_1-3,2,1.85,2.969,11/01/2020 02:15,1578708899999,3.047,1578726899999,0,-1.85
272543,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bearish_divergence_1-3,2,1.1,49.4,11/01/2020 03:00,1578711599999,48.28,1578716999999,1,2.0
173016,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence_1-3,2,2.23,2.983,11/01/2020 10:45,1578739499999,3.086,1578759299999,0,-2.23
181510,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_1-3,2,2.54,153.79,14/01/2020 16:30,1579019399999,159.55,1579021199999,0,-2.54
272548,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bearish_divergence_1-3,2,5.31,54.77,14/01/2020 16:30,1579019399999,58.33,1579022099999,0,-5.31
94595,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_1-3,2,1.57,8726.01,14/01/2020 19:30,1579030199999,8893.0,1579045499999,0,-1.57
453912,XRPUSDT_15m_orders.xlsx,XRPUSDT,15m,bearish_divergence_1-3,2,3.95,0.2361,14/01/2020 19:30,1579030199999,0.231,1579036499999,1,2.0
173024,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence_1-3,2,8.01,3.765,14/01/2020 20:00,1579031999999,3.644,1579061699999,1,2.0
94598,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_1-3,2,1.9,8748.71,15/01/2020 01:15,1579050899999,8570.52,1579065299999,1,2.0
94601,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_1-3,2,1.2,8814.33,15/01/2020 15:30,1579102199999,8622.0,1579139099999,1,2.0
453916,XRPUSDT_15m_orders.xlsx,XRPUSDT,15m,bearish_divergence_1-3,2,1.05,0.2354,17/01/2020 10:30,1579256999999,0.2384,1579256999999,0,-1.05
173030,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence_1-3,2,6.34,3.829,17/01/2020 20:00,1579291199999,3.735,1579328099999,1,2.0
417750,TRXUSDT_15m_orders.xlsx,TRXUSDT,15m,bearish_divergence_1-3,2,1.54,0.0173,22/01/2020 08:15,1579680899999,0.0168,1579745699999,1,2.0
272565,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bearish_divergence_1-3,2,1.08,56.02,26/01/2020 20:45,1580071499999,57.29,1580084999999,0,-1.08
177383,ETCUSDT_15m_orders.xlsx,ETCUSDT,15m,bearish_divergence_1-3,2,2.67,9.703,27/01/2020 07:30,1580110199999,9.45,1580115599999,1,2.0
453924,XRPUSDT_15m_orders.xlsx,XRPUSDT,15m,bearish_divergence_1-3,2,1.27,0.2336,28/01/2020 03:30,1580182199999,0.2384,1580217299999,0,-1.27
417759,TRXUSDT_15m_orders.xlsx,TRXUSDT,15m,bearish_divergence_1-3,2,2.49,0.01724,28/01/2020 10:00,1580205599999,0.01777,1580209199999,0,-2.49
94612,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_1-3,2,1.72,9049.0,28/01/2020 15:15,1580224499999,9432.13,1580255099999,0,-1.72
72953,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence_1-3,2,1.84,389.02,29/01/2020 07:15,1580282099999,381.23,1580297399999,1,2.0
173048,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence_1-3,2,1.19,4.323,30/01/2020 21:30,1580419799999,4.405,1580425199999,0,-1.19
417768,TRXUSDT_15m_orders.xlsx,TRXUSDT,15m,bearish_divergence_1-3,2,2.4,0.0195,02/02/2020 13:15,1580649299999,0.01911,1580687099999,1,2.0
453934,XRPUSDT_15m_orders.xlsx,XRPUSDT,15m,bearish_divergence_1-3,2,1.38,0.2787,05/02/2020 07:00,1580885999999,0.271,1580898599999,1,2.0
181539,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_1-3,2,1.18,205.73,05/02/2020 22:45,1580942699999,201.28,1580948999999,1,2.0
173055,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence_1-3,2,1.8,4.516,05/02/2020 23:45,1580946299999,4.644,1580975999999,0,-1.8
181542,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_1-3,2,1.65,208.5,06/02/2020 09:30,1580981399999,213.61,1580991299999,0,-1.65
258162,LINKUSDT_15m_orders.xlsx,LINKUSDT,15m,bearish_divergence_1-3,2,2.32,3.287,07/02/2020 19:30,1581103799999,3.394,1581120899999,0,-2.32
447873,XMRUSDT_15m_orders.xlsx,XMRUSDT,15m,bearish_divergence_1-3,2,1.33,79.93,07/02/2020 12:00,1581076799999,78.32,1581124499999,1,2.0
258164,LINKUSDT_15m_orders.xlsx,LINKUSDT,15m,bearish_divergence_1-3,2,3.62,3.271,08/02/2020 01:15,1581124499999,3.19,1581129899999,1,2.0
457857,XTZUSDT_15m_orders.xlsx,XTZUSDT,15m,bearish_divergence_1-3,2,3.43,2.392,09/02/2020 10:15,1581243299999,2.509,1581260399999,0,-3.43
258169,LINKUSDT_15m_orders.xlsx,LINKUSDT,15m,bearish_divergence_1-3,2,3.34,3.967,12/02/2020 01:00,1581469199999,3.863,1581474599999,1,2.0
11791,ADAUSDT_15m_orders.xlsx,ADAUSDT,15m,bearish_divergence_1-3,2,1.31,0.06487,12/02/2020 03:15,1581477299999,0.06587,1581487199999,0,-1.31
72963,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence_1-3,2,1.11,470.67,12/02/2020 03:45,1581479099999,479.47,1581484499999,0,-1.11
40498,ATOMUSDT_15m_orders.xlsx,ATOMUSDT,15m,bearish_divergence_1-3,2,2.16,5.205,12/02/2020 05:00,1581483599999,5.32,1581491699999,0,-2.16
11795,ADAUSDT_15m_orders.xlsx,ADAUSDT,15m,bearish_divergence_1-3,2,2.2,0.06934,12/02/2020 20:00,1581537599999,0.0709,1581560999999,0,-2.2
