,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage
181894,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_ema21,2,1.57,629.51,23/12/2020 01:45,1608687899999,616.64,1608696899999,1,2.0
394251,SUSHIUSDT_15m_orders.xlsx,SUSHIUSDT,15m,bearish_divergence_below_ema21,2,2.56,2.6941,23/12/2020 01:45,1608687899999,2.6356,1608689699999,1,2.0
448322,XMRUSDT_15m_orders.xlsx,XMRUSDT,15m,bearish_divergence_below_ema21,2,2.98,153.91,23/12/2020 01:45,1608687899999,159.24,1608713099999,0,-2.98
94907,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence_below_ema21,2,1.81,23654.73,23/12/2020 02:15,1608689699999,22805.0,1608722099999,1,2.0
127076,CTKUSDT_15m_orders.xlsx,CTKUSDT,15m,bearish_divergence_below_ema21,2,6.71,0.95342,23/12/2020 09:00,1608713999999,0.9267,1608720299999,1,2.0
476245,ZILUSDT_15m_orders.xlsx,ZILUSDT,15m,bearish_divergence_below_ema21,2,6.66,0.05834,23/12/2020 09:45,1608716699999,0.05659,1608721199999,1,2.0
353239,RUNEUSDT_15m_orders.xlsx,RUNEUSDT,15m,bearish_divergence_below_ema21,2,3.22,0.9679,23/12/2020 16:45,1608741899999,0.9434,1608757199999,1,2.0
476249,ZILUSDT_15m_orders.xlsx,ZILUSDT,15m,bearish_divergence_below_ema21,2,4.39,0.06119,23/12/2020 21:15,1608758099999,0.0585,1608761699999,1,2.0
231340,IOTAUSDT_15m_orders.xlsx,IOTAUSDT,15m,bearish_divergence_below_ema21,2,1.95,0.2809,24/12/2020 17:15,1608830099999,0.2867,1608848099999,0,-1.95
40913,ATOMUSDT_15m_orders.xlsx,ATOMUSDT,15m,bearish_divergence_below_ema21,2,1.92,4.845,24/12/2020 19:45,1608839099999,4.949,1608845399999,0,-1.92
189470,FLMUSDT_15m_orders.xlsx,FLMUSDT,15m,bearish_divergence_below_ema21,2,2.35,0.1411,24/12/2020 19:45,1608839099999,0.1449,1608845399999,0,-2.35
408754,TOMOUSDT_15m_orders.xlsx,TOMOUSDT,15m,bearish_divergence_below_ema21,2,1.86,0.6638,24/12/2020 17:15,1608830099999,0.6777,1608849899999,0,-1.86
328438,QTUMUSDT_15m_orders.xlsx,QTUMUSDT,15m,bearish_divergence_below_ema21,2,2.14,2.194,24/12/2020 18:45,1608835499999,2.26,1608849899999,0,-2.14
195177,FTMUSDT_15m_orders.xlsx,FTMUSDT,15m,bearish_divergence_below_ema21,2,1.69,0.016867,24/12/2020 19:45,1608839099999,0.017177,1608845399999,0,-1.69
342571,RLCUSDT_15m_orders.xlsx,RLCUSDT,15m,bearish_divergence_below_ema21,2,2.36,0.7767,24/12/2020 20:15,1608840899999,0.815,1608848999999,0,-2.36
342571,RLCUSDT_15m_orders.xlsx,RLCUSDT,15m,bearish_divergence_below_ema21,2,2.36,0.7767,24/12/2020 20:15,1608840899999,0.815,1608848999999,0,-2.36
