,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage,action,position_count
94530,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence,2,8.4,9533.98,26/10/2019 03:30,1572060599999,9310.36,1572075899999,1,2.0,1,1
94533,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence,2,1.74,9633.05,27/10/2019 18:30,1572200999999,9437.0,1572210899999,1,2.0,1,1
94535,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence,2,2.56,9676.09,28/10/2019 03:30,1572233399999,9405.62,1572245099999,1,2.0,1,1
181463,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence,2,1.12,155.63,29/11/2019 16:30,1575044999999,152.09,1575063899999,1,2.0,1,1
181483,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence,2,1.22,131.71,22/12/2019 22:00,1577051999999,135.06,1577060999999,0,-1.22,1,1
94569,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence,2,1.02,7559.97,23/12/2019 02:45,1577069099999,7691.0,1577117699999,0,-1.02,1,1
72923,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence,2,2.09,205.61,28/12/2019 02:30,1577500199999,213.86,1577623499999,0,-2.09,1,1
181491,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence,2,1.11,127.06,28/12/2019 07:00,1577516399999,128.94,1577555099999,0,-1.11,1,2
72928,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence,2,1.01,212.53,29/12/2019 16:30,1577636999999,215.26,1577636999999,0,-1.01,1,1
181494,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence,2,3.29,133.7,29/12/2019 21:15,1577654099999,130.9,1577717999999,1,2.0,1,1
72934,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence,2,2.4,220.77,03/01/2020 18:30,1578076199999,227.19,1578133799999,0,-2.4,1,1
181501,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence,2,1.65,132.71,03/01/2020 19:15,1578078899999,135.07,1578094199999,0,-1.65,1,2
72937,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence,2,1.94,243.26,07/01/2020 01:15,1578359699999,238.11,1578400199999,1,2.0,1,1
181506,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence,2,1.56,142.88,10/01/2020 19:30,1578684599999,145.2,1578706199999,0,-1.56,1,1
272540,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bearish_divergence,2,1.99,48.64,10/01/2020 21:00,1578689999999,49.9,1578706199999,0,-1.99,1,2
173010,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence,2,1.07,2.948,10/01/2020 21:30,1578691799999,3.006,1578700799999,0,-1.07,1,3
173012,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence,2,1.85,2.969,11/01/2020 02:15,1578708899999,3.047,1578726899999,0,-1.85,1,1
72940,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence,2,3.04,271.0,11/01/2020 02:45,1578710699999,262.8,1578740399999,1,2.0,1,2
272542,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bearish_divergence,2,1.1,49.4,11/01/2020 03:00,1578711599999,48.28,1578716999999,1,2.0,1,3
173015,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence,2,2.23,2.983,11/01/2020 10:45,1578739499999,3.086,1578759299999,0,-2.23,1,2
173019,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence,2,1.87,3.154,13/01/2020 00:30,1578875399999,3.087,1578883499999,1,2.0,1,1
272546,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bearish_divergence,2,1.35,53.99,14/01/2020 09:45,1578995099999,54.74,1578995099999,0,-1.35,1,1
453910,XRPUSDT_15m_orders.xlsx,XRPUSDT,15m,bearish_divergence,2,2.53,0.2231,14/01/2020 16:15,1579018499999,0.2401,1579021199999,0,-2.53,1,1
94592,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence,2,2.34,8564.54,14/01/2020 16:30,1579019399999,8788.0,1579022099999,0,-2.34,1,2
173022,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence,2,4.09,3.328,14/01/2020 16:30,1579019399999,3.517,1579021199999,0,-4.09,1,3
94594,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bearish_divergence,2,1.57,8726.01,14/01/2020 19:30,1579030199999,8893.0,1579045499999,0,-1.57,1,1
