,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage,action,position_count
94514,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence,2,1.27,8082.5,04/10/2019 05:45,1570167899999,7889.64,1570345199999,0,-1.27,1,1
94522,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence,2,1.19,8177.71,15/10/2019 19:45,1571168699999,8010.64,1571226299999,0,-1.19,1,1
94539,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence,2,1.65,9309.93,29/10/2019 03:45,1572320699999,9569.1,1572326099999,1,2.0,1,1
94548,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence,2,1.16,8771.96,08/11/2019 16:30,1573230599999,9187.0,1573403399999,1,2.0,1,1
94550,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence,2,2.45,7574.96,22/11/2019 08:15,1574410499999,7765.03,1574410499999,1,2.0,1,1
94551,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence,2,3.83,7032.22,22/11/2019 15:00,1574434799999,7204.47,1574439299999,1,2.0,1,1
94555,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence,2,1.85,7207.73,05/12/2019 00:45,1575506699999,7379.28,1575521099999,1,2.0,1,1
181475,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bullish_divergence,2,2.09,142.02,12/12/2019 03:00,1576119599999,144.98,1576152899999,1,2.0,1,1
181481,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bullish_divergence,2,1.74,127.54,17/12/2019 18:15,1576606499999,124.94,1576610999999,0,-1.74,1,1
94572,BTCUSDT_15m_orders.xlsx,BTCUSDT,15m,bullish_divergence,2,1.82,7358.98,24/12/2019 09:00,1577177999999,7210.0,1577204099999,0,-1.82,1,1
